country_code,year,rd
ZAF,2013,4845513.87039
ZAF,2014,5266609.73425
ZAF,2015,5551117.36155
ZAF,2016,5795166.72308
ZAF,2017,6025578.22201
LKA,2013,225203.35961
LKA,2014,233644.80851
LKA,2015,263460.81718
LKA,2016,333152.82919
LKA,2017,344265.90266
TJK,2013,28919.69694
TJK,2014,31686.21747
TJK,2015,27538.45934
TJK,2016,28665.5273
TJK,2017,31651.10153
TJK,2018,29238.66763
THA,2013,4636949.16021
THA,2014,5084023.96996
THA,2015,6698278.14447
THA,2016,8919510.32491
THA,2017,12078351.83973
TTO,2013,23058.39382
TTO,2014,33063.82915
TTO,2015,32505.65458
TTO,2016,33230.84968
TTO,2017,33355.34164
TTO,2018,31395.01111
TUN,2013,751649.74367
TUN,2014,756067.15745
TUN,2015,718309.52663
TUN,2016,706865.42036
TUN,2018,766222.0471
UGA,2014,109960.68161
UKR,2013,3704867.24043
UKR,2014,3004475.05216
UKR,2015,2677244.02203
UKR,2016,2299606.17063
UKR,2017,2261434.60042
UKR,2018,2514839.19249
URY,2013,208222.59469
URY,2014,229438.933
URY,2015,251414.95004
URY,2016,289082.19885
URY,2017,354649.55675
URY,2018,319137.87035
VNM,2013,1816932.37851
VNM,2015,2494936.38079
VNM,2017,3565568.03614
MAC,2013,45365.0329
MAC,2014,79172.92089
MAC,2015,95570.90889
MAC,2016,165404.59388
MAC,2017,135004.62652
MAC,2018,171864.52795
SRB,2013,716513.97613
SRB,2014,755850.3422
SRB,2015,859158.77977
SRB,2016,932338.75671
SRB,2017,1014044.67788
SRB,2018,1127885.65239
MNE,2013,34576.43794
MNE,2014,34713.87854
MNE,2015,38014.36943
MNE,2016,36524.92792
MNE,2017,42629.27471
MNE,2018,48119.03847
AUS,2013,18201918.04204
AUS,2015,16800384.70718
AUS,2017,17264653.62412
AUT,2013,9414885.18752
AUT,2014,9892059.09672
AUT,2015,9880330.00306
AUT,2016,10307345.66503
AUT,2017,10333043.43607
AUT,2018,11020639.20072
AUT,2019,11323928.74137
BEL,2013,8976207.35868
BEL,2014,9271607.64325
BEL,2015,9692186.56332
BEL,2016,10217663.79208
BEL,2017,10984784.52457
BEL,2018,11586125.45596
CAN,2013,24065342.84371
CAN,2014,24883353.41644
CAN,2015,24741526.13255
CAN,2016,25513029.52514
CAN,2017,25410328.41002
CAN,2018,24275751.94632
CAN,2019,24358633.54052
CZE,2013,4827667.02476
CZE,2014,5149595.78221
CZE,2015,5303114.1248
CZE,2016,4731591.50171
CZE,2017,5262701.21596
CZE,2018,5833740.7338
DNK,2013,5695479.43784
DNK,2014,5677844.72475
DNK,2015,6091761.45966
DNK,2016,6367457.32281
DNK,2017,6407445.00738
DNK,2018,6523607.35024
FIN,2013,5771873.96644
FIN,2014,5533067.38176
FIN,2015,5076124.43546
FIN,2016,4945862.4491
FIN,2017,5116181.47191
FIN,2018,5241872.53093
FRA,2013,46295869.3565
FRA,2014,47551110.08181
FRA,2015,47892591.57584
FRA,2016,47463709.21757
FRA,2017,48138379.18862
FRA,2018,48767085.69696
DEU,2013,82646901.55031
DEU,2014,85733227.5352
DEU,2015,88806447.3657
DEU,2016,91126559.44423
DEU,2017,97402662.45679
DEU,2018,100977577.80613
GRC,2013,1827938.52433
GRC,2014,1891362.19945
GRC,2015,2172130.68485
GRC,2016,2241805.71717
GRC,2017,2589556.20609
GRC,2018,2747526.24072
HUN,2013,2418323.81724
HUN,2014,2451156.85741
HUN,2015,2540465.78616
HUN,2016,2294691.62247
HUN,2017,2679243.38437
HUN,2018,3241570.57122
ISL,2013,213574.85573
ISL,2014,249543.32485
ISL,2015,294851.3469
ISL,2016,304409.12947
ISL,2017,314786.54253
ISL,2018,316979.42895
IRL,2013,2742600.65622
IRL,2014,2896018.20416
IRL,2015,2814620.8095
IRL,2016,2884208.50081
IRL,2018,3309169.38396
ITA,2013,21482941.61598
ITA,2014,22098319.09585
ITA,2015,22271968.71366
ITA,2016,23030597.7636
ITA,2017,23478317.09568
ITA,2018,24040076.08397
JPN,2013,139361572.86097
