country_code,year,haq_interpolated
BMU,1996,66.16
BMU,1997,67.52
BMU,1998,68.88
BMU,1999,70.24
BMU,2000,71.6
BMU,2001,72.1
BMU,2002,72.6
BMU,2003,73.1
BMU,2004,73.6
BMU,2005,74.1
BMU,2006,74.67999999999999
BMU,2007,75.25999999999999
BMU,2008,75.84
BMU,2009,76.42
BMU,2010,77.0
BMU,2011,77.4
BMU,2012,77.8
BMU,2013,78.2
BMU,2014,78.6
BMU,2015,79.0
BOL,1990,40.5
BOL,1991,41.16
BOL,1992,41.82
BOL,1993,42.48
BOL,1994,43.14
BOL,1995,43.8
BOL,1996,44.739999999999995
BOL,1997,45.68
BOL,1998,46.62
BOL,1999,47.56
BOL,2000,48.5
BOL,2001,49.46
BOL,2002,50.42
BOL,2003,51.379999999999995
BOL,2004,52.339999999999996
BOL,2005,53.3
BOL,2006,53.919999999999995
BOL,2007,54.54
BOL,2008,55.16
BOL,2009,55.78
BOL,2010,56.4
BOL,2011,56.96
BOL,2012,57.52
BOL,2013,58.08
BOL,2014,58.64
BOL,2015,59.2
BRA,1990,50.1
BRA,1991,50.84
BRA,1992,51.58
BRA,1993,52.32
BRA,1994,53.059999999999995
BRA,1995,53.8
BRA,1996,54.44
BRA,1997,55.08
BRA,1998,55.72
BRA,1999,56.36
BRA,2000,57.0
BRA,2001,57.58
BRA,2002,58.16
BRA,2003,58.74
BRA,2004,59.32
BRA,2005,59.9
BRA,2006,60.44
BRA,2007,60.98
BRA,2008,61.52
BRA,2009,62.06
BRA,2010,62.6
BRA,2011,63.06
BRA,2012,63.52
BRA,2013,63.980000000000004
BRA,2014,64.44
BRA,2015,64.9
BRB,1990,55.9
BRB,1991,56.62
BRB,1992,57.339999999999996
BRB,1993,58.06
BRB,1994,58.78
BRB,1995,59.5
BRB,1996,60.12
BRB,1997,60.74
BRB,1998,61.36
BRB,1999,61.980000000000004
BRB,2000,62.6
BRB,2001,62.94
BRB,2002,63.28
BRB,2003,63.62
BRB,2004,63.96
BRB,2005,64.3
BRB,2006,64.53999999999999
BRB,2007,64.78
BRB,2008,65.02
BRB,2009,65.26
BRB,2010,65.5
BRB,2011,65.76
BRB,2012,66.02
BRB,2013,66.28
BRB,2014,66.53999999999999
BRB,2015,66.8
BRN,1990,62.0
BRN,1991,62.46
BRN,1992,62.92
BRN,1993,63.379999999999995
BRN,1994,63.839999999999996
BRN,1995,64.3
BRN,1996,64.78
BRN,1997,65.26
BRN,1998,65.74
BRN,1999,66.22
BRN,2000,66.7
BRN,2001,67.08
BRN,2002,67.46
BRN,2003,67.84
BRN,2004,68.22
BRN,2005,68.6
BRN,2006,68.78
BRN,2007,68.96
BRN,2008,69.14
BRN,2009,69.32
BRN,2010,69.5
BRN,2011,69.6
BRN,2012,69.7
BRN,2013,69.8
BRN,2014,69.9
BRN,2015,70.0
BTN,1990,34.6
BTN,1991,35.2
BTN,1992,35.800000000000004
BTN,1993,36.4
BTN,1994,37.0
BTN,1995,37.6
BTN,1996,38.54
BTN,1997,39.48
BTN,1998,40.42
BTN,1999,41.36
BTN,2000,42.3
BTN,2001,43.08
BTN,2002,43.86
BTN,2003,44.64
BTN,2004,45.42
BTN,2005,46.2
BTN,2006,46.980000000000004
BTN,2007,47.760000000000005
BTN,2008,48.54
BTN,2009,49.32
BTN,2010,50.1
BTN,2011,50.620000000000005
BTN,2012,51.14
BTN,2013,51.660000000000004
BTN,2014,52.18
BTN,2015,52.7
BWA,1990,44.9
BWA,1991,45.0
BWA,1992,45.1
BWA,1993,45.199999999999996
BWA,1994,45.3
BWA,1995,45.4
BWA,1996,45.06
BWA,1997,44.72
BWA,1998,44.38
BWA,1999,44.04
BWA,2000,43.7
BWA,2001,43.74
BWA,2002,43.78
BWA,2003,43.82
BWA,2004,43.86
BWA,2005,43.9
BWA,2006,44.839999999999996
BWA,2007,45.78
BWA,2008,46.72
BWA,2009,47.660000000000004
BWA,2010,48.6
BWA,2011,49.1
BWA,2012,49.6
BWA,2013,50.1
BWA,2014,50.6
BWA,2015,51.1
CAF,1990,25.5
CAF,1991,25.56
CAF,1992,25.62
CAF,1993,25.68
CAF,1994,25.740000000000002
CAF,1995,25.8
CAF,1996,25.98
CAF,1997,26.16
CAF,1998,26.34
CAF,1999,26.52
CAF,2000,26.7
CAF,2001,26.96
CAF,2002,27.22
CAF,2003,27.48
CAF,2004,27.74
CAF,2005,28.0
CAF,2006,28.16
CAF,2007,28.32
CAF,2008,28.48
CAF,2009,28.64
CAF,2010,28.8
CAF,2011,28.76
CAF,2012,28.720000000000002
CAF,2013,28.68
CAF,2014,28.64
CAF,2015,28.6
CAN,1990,78.9
CAN,1991,79.26
CAN,1992,79.62
CAN,1993,79.98
CAN,1994,80.34
CAN,1995,80.7
CAN,1996,81.2
CAN,1997,81.7
CAN,1998,82.2
CAN,1999,82.7
CAN,2000,83.2
CAN,2001,83.5
CAN,2002,83.8
CAN,2003,84.10000000000001
CAN,2004,84.4
CAN,2005,84.7
CAN,2006,85.02
CAN,2007,85.34
CAN,2008,85.66
CAN,2009,85.98
CAN,2010,86.3
CAN,2011,86.56
CAN,2012,86.82
CAN,2013,87.08
CAN,2014,87.33999999999999
CAN,2015,87.6
CHE,1990,81.4
CHE,1991,81.80000000000001
CHE,1992,82.2
CHE,1993,82.60000000000001
CHE,1994,83.0
CHE,1995,83.4
